Job number,Occupancyissueddate,BIN,Borough,Housenumber,Streetname,Block,Lot,Noofdwellingunits,Buildingoccupancygroupclassification,CofilingtypeLabel,CofO Status
100061442-01,2/23/22 15:33,1075787,Manhattan,2,DIVISION STREET,289,1,83,J-2 - RESIDENTIAL APT HOUSE,Renewal Without Change,CO Issued
100061442-01,5/18/22 15:25,1075787,Manhattan,2,DIVISION STREET,289,1,83,J-2 - RESIDENTIAL APT HOUSE,Renewal Without Change,CO Issued
100075133-01,5/27/22 14:15,1035742,Manhattan,693,5 AVENUE,1290,3,,E - BUSINESS,Renewal With Change,CO Issued
100206634-01,4/28/22 10:51,1015518,Manhattan,676,AVENUE OF THE AMERICAS,823,1,,E - BUSINESS,Initial,CO Issued
100375416-01,2/25/22 16:01,1008216,Manhattan,324,LAFAYETTE STREET,522,28,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
100375416-01,4/12/22 9:42,1008216,Manhattan,324,LAFAYETTE STREET,522,28,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
100569305-01,1/19/22 11:03,1015815,Manhattan,5,WEST   31 STREET,833,36,9,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
100569305-01,3/23/22 11:00,1015815,Manhattan,5,WEST   31 STREET,833,36,9,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
100619957-01,3/28/22 18:04,1012256,Manhattan,PIER 59,NORTH RIVER,662,11,0,F-3 - ASSEMBLY (MUSEUMS),Renewal Without Change,CO Issued
100619957-01,6/17/22 11:07,1012256,Manhattan,PIER 59,NORTH RIVER,662,11,0,F-3 - ASSEMBLY (MUSEUMS),Renewal Without Change,CO Issued
100704659-01,1/21/22 14:04,1080094,Manhattan,8,ASTOR PLACE,545,26,,E - BUSINESS,Renewal Without Change,CO Issued
100704659-01,5/26/22 17:16,1080094,Manhattan,8,ASTOR PLACE,545,26,,E - BUSINESS,Renewal Without Change,CO Issued
100704668-01,2/24/22 14:50,1080092,Manhattan,740,BROADWAY,545,26,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
100704668-01,5/27/22 16:10,1080092,Manhattan,740,BROADWAY,545,26,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
100730498-01,2/25/22 14:44,1016044,Manhattan,15,WEST   39 STREET,841,27,,COM - COMMERCIAL BUILDINGS - OLD CODE,Initial,CO Issued
100734298-01,2/9/22 12:45,1088676,Manhattan,440,LAFAYETTE STREET,545,26,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
100734298-01,6/7/22 11:06,1088676,Manhattan,440,LAFAYETTE STREET,545,26,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
100812532-01,6/9/22 12:19,1059421,Manhattan,2467,8 AVENUE,1958,26,14,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
100842910-01,4/4/22 10:20,1009197,Manhattan,113,UNIVERSITY PLACE,564,7,,,Renewal With Change,CO Issued
100909634-01,6/7/22 11:09,1014336,Manhattan,259,WEST   30 STREET,780,7,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
100923985-01,1/6/22 14:18,1085805,Manhattan,180,RIVERSIDE BOULEVARD,1171,129,516,J2: RESIDENTIAL,Renewal Without Change,CO Issued
100923985-01,3/30/22 17:47,1085805,Manhattan,180,RIVERSIDE BOULEVARD,1171,129,516,J2: RESIDENTIAL,Renewal Without Change,CO Issued
100923985-01,6/14/22 9:25,1085805,Manhattan,180,RIVERSIDE BOULEVARD,1171,129,516,J2: RESIDENTIAL,Renewal Without Change,CO Issued
100934973-01,6/8/22 15:23,1086247,Manhattan,120,RIVERSIDE BOULEVARD,1171,7504,279,J2: RESIDENTIAL,Renewal Without Change,CO Issued
100935008-01,4/21/22 16:49,1085804,Manhattan,160,RIVERSIDE BOULEVARD,1171,132,438,J2: RESIDENTIAL,Renewal Without Change,CO Issued
101038681-01,1/11/22 14:43,1072932,Manhattan,30,EAST   85 STREET,1496,7501,94,J2: 3 FAMILY,Renewal Without Change,CO Issued
101038681-01,5/25/22 11:05,1072932,Manhattan,30,EAST   85 STREET,1496,7501,94,J2: 3 FAMILY,Renewal Without Change,CO Issued
101099776-01,2/11/22 14:40,1024838,Manhattan,1697,BROADWAY,1025,43,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
101099776-01,5/10/22 9:13,1024838,Manhattan,1697,BROADWAY,1025,43,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
101156419-01,3/21/22 14:43,1034815,Manhattan,1350,AVENUE OF AMERICAS,1270,71,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
101157775-01,5/3/22 15:57,1015053,Manhattan,144,WEST   27 STREET,802,7501,13,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
101159023-01,5/31/22 8:54,1005002,Manhattan,191,EAST    3 STREET,399,41,17,RES - RESID. BLDG - OLD CODE,Renewal With Change,CO Issued
101227566-01,1/28/22 15:36,1086065,Manhattan,220,RIVERSIDE BOULEVARD,1171,7502,423,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
101227566-01,6/10/22 14:40,1086065,Manhattan,220,RIVERSIDE BOULEVARD,1171,7502,423,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
101227628-01,2/18/22 9:34,1085722,Manhattan,200,RIVERSIDE BOULEVARD,1171,7501,00377,J2: RESIDENTIAL,Renewal Without Change,CO Issued
101227628-01,5/17/22 14:40,1085722,Manhattan,200,RIVERSIDE BOULEVARD,1171,7501,00377,J2: RESIDENTIAL,Renewal Without Change,CO Issued
101236002-01,2/18/22 12:20,1087072,Manhattan,240,RIVERSIDE BOULEVARD,1171,7503,174,J2: RESIDENTIAL,Renewal Without Change,CO Issued
101236002-01,6/10/22 13:13,1087072,Manhattan,240,RIVERSIDE BOULEVARD,1171,7503,174,J2: RESIDENTIAL,Renewal Without Change,CO Issued
101242530-01,1/12/22 16:42,1066317,Manhattan,303,GREENWICH STREET,140,7501,41,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
101242530-01,4/11/22 10:01,1066317,Manhattan,303,GREENWICH STREET,140,7501,41,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
101248213-01,1/6/22 11:39,1087284,Manhattan,1275,YORK AVENUE,1462,5,,H-2 - INSTITUTIONAL (INCAPACITATED),Renewal Without Change,CO Issued
101248213-01,5/6/22 15:37,1087284,Manhattan,1275,YORK AVENUE,1462,5,,H-2 - INSTITUTIONAL (INCAPACITATED),Renewal Without Change,CO Issued
101276799-01,2/24/22 16:15,1080068,Manhattan,27,GREAT JONES STREET,530,7502,10,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
101276799-01,5/25/22 12:08,1080068,Manhattan,27,GREAT JONES STREET,530,7502,10,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
101301173-01,3/28/22 16:33,1019099,Manhattan,160,EAST   38 STREET,893,41,199,J2: RESIDENTIAL,Renewal Without Change,CO Issued
101301173-01,6/22/22 14:54,1019099,Manhattan,160,EAST   38 STREET,893,41,199,J2: RESIDENTIAL,Renewal Without Change,CO Issued
101305375-01,3/9/22 14:13,1026911,Manhattan,555,WEST   42 STREET,1071,1,418,J2: 3 FAMILY,Renewal Without Change,CO Issued
