BBL,BORO,BOROUGH,BLOCK,LOT,CD,HOUSE NUMBER,STREET NAME,ALTERNATE ADDRESS,PARCEL NAME,AGENCY,PRIMARY USE CODE,PRIMARY USE TEXT,OWNER,OWNED/LEASED,U-F-USE-CODE,U-F-USE-TEXT,U-A-USE-CODE,U-A-USE-TEXT,USE STATUS,X COORD,Y COORD,
1000020001,1,MANHATTAN,00002,0001,101,4,SOUTH STREET,4 SOUTH STREET,SI FERRY TERMINAL,DOT,0811,FERRY TERMINAL,C,O,,,,,C,0980670,0194440,
1000020001,1,MANHATTAN,00002,0001,101,4,SOUTH STREET,4 SOUTH STREET,SI FERRY TERMINAL,DSBS,1500,NO USE,C,O,,,,,C,0980670,0194440,
1000020002,1,MANHATTAN,00002,0002,101,,BATTERY MARITIME BLDG,BATTERY MARITIME BLDG,BATTERY MARITIME BLDG,DSBS,1900,IN USE-TENANTED,C,O,,,1910,LONG-TERM AGREEMENT,C,0981037,0194506,
1000020003,1,MANHATTAN,00002,0003,101,,,,MTA SUBSTATION,DSBS,1510,NO USE-NON RESIDENTIAL STRUCTURESE,C,O,,,,,C,0981224,0194590,
1000020003,1,MANHATTAN,00002,0003,101,,,,MTA SUBSTATION,MTA,0862,TRANSIT SUBSTATION,C,O,,,,,C,0981224,0194590,
1000020023,1,MANHATTAN,00002,0023,101,,SOUTH STREET,SOUTH STREET,PIER 6,DSBS,1500,NO USE,C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0981687,0194732,
1000020023,1,MANHATTAN,00002,0023,101,,SOUTH STREET,SOUTH STREET,PIER 6,EDC,1900,IN USE-TENANTED,C,O,1610,FINAL COMMITMENT-DISPOSITION,1910,LONG-TERM AGREEMENT,C,0981687,0194732,
1000030001,1,MANHATTAN,00003,0001,101,,BATTERY PLACE,BATTERY PLACE,BATTERY PARK,PARKS,0440,PARK,C,O,,,,,C,0979916,0195328,
1000030002,1,MANHATTAN,00003,0002,101,,PETER MINUIT PLAZA,PETER MINUIT PLAZA,PETER MINUIT PLAZA/BATTERY PK,PARKS,0440,PARK,C,O,,,,,C,0980470,0194954,
1000030003,1,MANHATTAN,00003,0003,101,,WHITEHALL STREET,WHITEHALL STREET,PETER MINUIT PLAZA/BATTERY PK,PARKS,0440,PARK,C,O,,,,,C,0980605,0195017,
1000060001,1,MANHATTAN,00006,0001,101,,SOUTH ST,SOUTH ST,VIETNAM VETERANS PLAZA,PARKS,0440,PARK,C,O,,,,,C,0981505,0195256,
1000120028,1,MANHATTAN,00012,0028,101,0,BROADWAY,BROADWAY,BOWLING GREEN PARK,PARKS,0440,PARK,C,O,,,,,C,0980468,0196126,
1000151002,1,MANHATTAN,00015,1002,101,17,BATTERY PLACE,17 BATTERY PLACE,,DOI,0120,AGENCY OFFICE,P,L,,,,,C,0979859,0196346,
1000160001,1,MANHATTAN,00016,0001,101,,PIER A,PIER A,PIER A / MARINE UNIT #1,DOT,0811,FERRY TERMINAL,C,O,,,,,C,0979250,0195800,
1000160001,1,MANHATTAN,00016,0001,101,,PIER A,PIER A,PIER A / MARINE UNIT #1,DSBS,1500,NO USE,C,O,,,,,C,0979250,0195800,
1000160001,1,MANHATTAN,00016,0001,101,,PIER A,PIER A,PIER A / MARINE UNIT #1,EDC,1900,IN USE-TENANTED,C,O,1610,FINAL COMMITMENT-DISPOSITION,1910,LONG-TERM AGREEMENT,C,0979250,0195800,
1000160003,1,MANHATTAN,00016,0003,101,20,BATTERY PLACE,20 BATTERY PLACE,BATTERY PARK CITY STREETS,DOT,0880,ROAD/HIGHWAY,M,O,,,,,C,0979652,0198903,
1000160003,1,MANHATTAN,00016,0003,101,20,BATTERY PLACE,20 BATTERY PLACE,BATTERY PARK CITY STREETS,PARKS,0440,PARK,M,O,,,,,C,0979652,0198903,
1000160012,1,MANHATTAN,00016,0012,101,,BATERY PK CTY LNDFILL,BATERY PK CTY LNDFILL,BATTERY PARK CITY,EDC,1900,IN USE-TENANTED,C,O,,,1920,SHORT-TERM AGREEMENT,C,0980137,0201177,
1000160012,1,MANHATTAN,00016,0012,101,,BATERY PK CTY LNDFILL,BATERY PK CTY LNDFILL,BATTERY PARK CITY,PARKS,0440,PARK,C,O,,,,,C,0980137,0201177,
1000160215,1,MANHATTAN,00016,0215,101,345,CHAMBERS STREET,345 CHAMBERS STREET,STUYVESANT HIGH SCHOOL,EDUC,0213,ACADEMIC HIGH SCHOOL,O,L,,,,,C,0980413,0200867,
1000160220,1,MANHATTAN,00016,0220,101,201,WARREN STREET,201 WARREN STREET,PS/IS 89,EDUC,0200,EDUCATIONAL FACILITY,O,L,,,,,C,0980457,0200553,
1000170045,1,MANHATTAN,00017,0045,101,25,WEST STREET,25 WEST STREET,BROOKLYN BATTERY TUNNEL GARAGE,DCAS,1500,NO USE,C,O,,,,,C,0980024,0196905,
1000170045,1,MANHATTAN,00017,0045,101,25,WEST STREET,25 WEST STREET,BROOKLYN BATTERY TUNNEL GARAGE,TBTA,0920,GARAGE,C,O,,,,,C,0980024,0196905,
1000179045,1,MANHATTAN,00017,9045,101,,JOSEPH P WARD STREET,JOSEPH P WARD STREET,JOSEPH P. WARD STREET,DOT,1350,AIR RIGHTS,C,O,,,,,C,       ,       ,
1000180100,1,MANHATTAN,00018,0100,101,,BATTERY PL,BATTERY PL,B'KLYN BATTERY TUNNEL APPROACH,DCAS,1500,NO USE,C,O,,,,,C,0980169,0196646,
1000180100,1,MANHATTAN,00018,0100,101,,BATTERY PL,BATTERY PL,B'KLYN BATTERY TUNNEL APPROACH,TBTA,0890,OTHER TRANSPORTATION FACILITY,C,O,,,,,C,0980169,0196646,
1000200016,1,MANHATTAN,00020,0016,101,51-55,BROADWAY,51-55 BROADWAY,NYPD,NYPD,0120,AGENCY OFFICE,P,L,,,,,C,0980639,0196803,
1000210001,1,MANHATTAN,00021,0001,101,57-61,BROADWAY,57-61 BROADWAY,,ACS,0100,OFFICE,P,L,,,,,C,0980691,0196894,
1000220017,1,MANHATTAN,00022,0017,101,32,BROADWAY,32 BROADWAY,,DCA,0110,AGENCY EXECUTIVE OFFICE,P,L,,,,,C,0980716,0196417,
1000220020,1,MANHATTAN,00022,0020,101,42,BROADWAY,42 BROADWAY,OFFICE BLDG,DCA,0110,AGENCY EXECUTIVE OFFICE,P,L,,,,,C,0980758,0196487,
1000220020,1,MANHATTAN,00022,0020,101,42,BROADWAY,42 BROADWAY,OFFICE BLDG,DCA,0100,OFFICE,P,L,,,,,C,0980758,0196487,
1000220020,1,MANHATTAN,00022,0020,101,42,BROADWAY,42 BROADWAY,OFFICE BLDG,ELECT,0110,AGENCY EXECUTIVE OFFICE,P,L,,,,,C,0980758,0196487,
1000220020,1,MANHATTAN,00022,0020,101,42,BROADWAY,42 BROADWAY,OFFICE BLDG,HLTH,0100,OFFICE,P,L,,,,,C,0980758,0196487,
1000220024,1,MANHATTAN,00022,0024,101,50,BROADWAY,50 BROADWAY,,EDUC,0210,PUBLIC SCHOOL,P,L,,,,,C,0980801,0196576,
1000280028,1,MANHATTAN,00028,0028,101,,HANOVER SQUARE,HANOVER SQUARE,HANOVER SQUARE PARK,PARKS,0440,PARK,C,O,,,,,C,0981660,0196035,
1000290019,1,MANHATTAN,00029,0019,101,,COENTIES ALLEY,COENTIES ALLEY,COENTIES ALLEY,DOT,0880,ROAD/HIGHWAY,C,O,,,,,C,0981318,0195761,
1000290070,1,MANHATTAN,00029,0070,101,00061-81,BROAD STREET,61-81 BROAD STREET,,EDUC,0213,ACADEMIC HIGH SCHOOL,P,L,,,,,C,0981134,0196012,
1000290073,1,MANHATTAN,00029,0073,101,44,BEAVER STREET,44 BEAVER STREET,DEPARTMENT OF SANITATION,SANIT,0120,AGENCY OFFICE,C,O,,,,,C,0981260,0196092,
1000321001,1,MANHATTAN,00032,1001,101,55,WATER STREET,55 WATER STREET,DOT HEADQUARTERS,DOT,0110,AGENCY EXECUTIVE OFFICE,P,L,,,,,C,0981712,0195465,
1000327501,1,MANHATTAN,00032,7501,101,43,OLD SLIP,43 OLD SLIP,DOT HEADQUARTERS,DOT,0100,OFFICE,P,L,,,,,C,0981712,0195465,
1000340037,1,MANHATTAN,00034,0037,101,100,OLD SLIP,100 OLD SLIP,FORMER NYC POLICE MUSEUM,CULT,0310,MUSEUM/GALLERY,M,O,,,,,C,0981933,0195645,
1000350001,1,MANHATTAN,00035,0001,101,42,SOUTH STREET,42 SOUTH STREET,ENG 4  LAD 15,FIRE,0520,FIREHOUSE,P,L,,,,,C,0982117,0195693,
1000360012,1,MANHATTAN,00036,0012,101,,PIER 9,PIER 9,FORMER PIER 9,DOT,0880,ROAD/HIGHWAY,C,O,,,,,C,0982265,0195125,
1000360012,1,MANHATTAN,00036,0012,101,,PIER 9,PIER 9,FORMER PIER 9,DSBS,1530,NO USE-WATERFRONT (ANY AGENCY),C,O,1610,FINAL COMMITMENT-DISPOSITION,,,C,0982265,0195125,
