PUMA,Pop within 1/4 Mile of ADA Subway Stations,Total Pop from Census 2020,Percent,
3603701,15517,113700,14%,
3603702,19017,148709,13%,
3603703,3638,123837,3%,
3603704,15480,130351,12%,
3603705,2208,178035,1%,
3603706,36809,134660,27%,
3603707,3134,140204,2%,
3603708,4871,144789,3%,
3603709,201,198808,0%,
3603710,21449,159561,13%,
3603801,56319,188800,30%,
3603802,7512,127022,6%,
3603803,18503,134068,14%,
3603804,8818,122143,7%,
3603805,82518,231983,36%,
3603806,66564,207780,32%,
3603807,75927,184640,41%,
3603808,29809,163839,18%,
3603809,10525,164237,6%,
3603810,74451,169739,44%,
3603901,4117,164508,3%,
3603902,2157,141576,2%,
3603903,1397,189663,1%,
3604001,26173,176207,15%,
3604002,15880,136869,12%,
3604003,516,153236,0%,
3604004,22930,152369,15%,
3604005,3018,115390,3%,
3604006,42490,137748,31%,
3604007,0,134109,0%,
3604008,5610,169643,3%,
3604009,4029,204005,2%,
3604010,8501,143132,6%,
3604011,14579,110492,13%,
3604012,6663,155282,4%,
3604013,7260,133143,5%,
3604014,9387,176543,5%,
3604015,14080,162557,9%,
3604016,6800,156693,4%,
3604017,11514,198527,6%,
3604018,4664,120104,4%,
3604101,15861,186153,9%,
3604102,19437,189960,10%,
3604103,7615,270930,3%,
3604104,0,122366,0%,
3604105,1,199510,0%,
3604106,5071,164781,3%,
3604107,8033,153099,5%,
3604108,11824,119706,10%,
3604109,27615,162153,17%,
3604110,4896,179288,3%,
3604111,4879,151876,3%,
3604112,10822,251096,4%,
3604113,9209,130378,7%,
3604114,7942,124185,6%,
